;"""N";Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [μSv/h];Standard deviation;Standard error of the mean value;CF;"Number of measured points""."
47298;"""1451";2021-09-23;06:17:18;46.19;14.89;1700;0;network;0.038;0;0;0;"1""."
47288;"""1441";2021-09-23;06:16:59;46.19;14.879999999999999;1100;0;network;0.044;0;0;0;"1""."
45048;"""2907";2022-06-06;11:04:03;45.910000000000004;15.34;3.79;210.588;gps;0.046;0;0;0;"1""."
47441;"""1594";2021-09-23;06:21:59;46.21000000000001;14.91;2299.999;0;network;0.047;0;0;0;"1""."
39645;"""2173";2021-06-30;12:50:13;46.64;16.34;3.79;219.246;gps;0.05;0;0;0;"1""."
13520;"""13521";2021-09-06;15:59:39;45.910000000000004;15.51;3.873;204.783;gps;0.053;0;0;0;"1""."
41458;"""788";2021-06-29;12:26:24;46.17;15.22;1799.999;0;network;0.053;0;0;0;"1""."
13495;"""13496";2021-09-06;15:58:49;45.910000000000004;15.5;3.79;205.188;gps;0.056;0;0;0;"1""."
34495;"""20496";2021-09-08;19:19:36;46.03;14.47;3.79;343.283;gps;0.057;0;0;0;"1""."
37463;"""1882";2021-06-29;09:35:49;45.940000000000005;15.600000000000001;2952;0;network;0.057;0;0;0;"1""."
53548;"""599";2022-05-28;18:18:30;46.449999999999996;15.75;3.79;293.664;gps;0.057;0;0;0;"1""."
41436;"""766";2021-06-29;12:25:58;46.17;15.229999999999999;2799.999;0;network;0.058;0;0;0;"1""."
13486;"""13487";2021-09-06;15:58:31;45.910000000000004;15.489999999999998;3.79;203.839;gps;0.058;0;0;0;"1""."
34156;"""20157";2021-09-08;19:08:28;45.98;14.71;3.79;494.285;gps;0.058;0;0;0;"1""."
34480;"""20481";2021-09-08;19:19:06;46.03;14.48;3.79;340.76;gps;0.058;0;0;0;"1""."
34464;"""20465";2021-09-08;19:18:34;46.03;14.49;3.79;339.791;gps;0.058;0;0;0;"1""."
53582;"""633";2022-05-28;18:19:04;46.46;15.74;3.79;297.391;gps;0.059;0;0;0;"1""."
53546;"""597";2022-05-28;18:18:28;46.449999999999996;15.760000000000002;3.79;293.325;gps;0.06;0;0;0;"1""."
5059;"""5060";2021-09-06;11:13:56;45.910000000000004;15.440000000000001;9.935;213.955;gps;0.061;0;0;0;"1""."
5082;"""5083";2021-09-06;11:14:41;45.910000000000004;15.45;3.79;210.314;gps;0.061;0;0;0;"1""."
4778;"""4779";2021-09-06;11:04:40;45.9;15.329999999999998;3.79;203.404;gps;0.061;0;0;0;"1""."
34122;"""20123";2021-09-08;19:07:25;45.970000000000006;14.73;3.79;449.218;gps;0.061;0;0;0;"1""."
34180;"""20181";2021-09-08;19:09:16;45.98;14.690000000000001;3.79;437.292;gps;0.061;0;0;0;"1""."
4817;"""4818";2021-09-06;11:05:54;45.910000000000004;15.37;3.79;200.792;gps;0.062;0;0;0;"1""."
53558;"""609";2022-05-28;18:18:40;46.46;15.75;3.79;295.096;gps;0.062;0;0;0;"1""."
5062;"""5063";2021-09-06;11:14:02;45.919999999999995;15.440000000000001;3.79;213.661;gps;0.062;0;0;0;"1""."
34181;"""20182";2021-09-08;19:09:18;45.98;14.68;3.79;433.303;gps;0.062;0;0;0;"1""."
34135;"""20136";2021-09-08;19:07:51;45.970000000000006;14.719999999999999;3.79;489.701;gps;0.062;0;0;0;"1""."
10456;"""10457";2021-09-06;14:18:43;45.919999999999995;15.58;3.79;191.871;gps;0.062;0;0;0;"1""."
49085;"""3238";2021-09-23;07:15:48;46.52;15.67;3.79;318.093;gps;0.063;0;0;0;"1""."
47786;"""1939";2021-09-23;06:33:17;46.269999999999996;15.129999999999999;9.935;316.212;gps;0.063;0;0;0;"1""."
5077;"""5078";2021-09-06;11:14:31;45.919999999999995;15.45;3.79;212.511;gps;0.063;0;0;0;"1""."
4755;"""4756";2021-09-06;11:03:55;45.89;15.32;9.935;204.173;gps;0.063;0;0;0;"1""."
4794;"""4795";2021-09-06;11:05:12;45.910000000000004;15.35;3.79;193.672;gps;0.063;0;0;0;"1""."
47535;"""1688";2021-09-23;06:25:04;46.230000000000004;14.950000000000001;4.224;409.634;gps;0.063;0;0;0;"1""."
4809;"""4810";2021-09-06;11:05:42;45.910000000000004;15.36;3.79;197.022;gps;0.064;0;0;0;"1""."
41198;"""528";2021-06-29;12:21:01;46.16;15.22;2740;0;network;0.064;0;0;0;"1""."
5092;"""5093";2021-09-06;11:15:00;45.910000000000004;15.46;3.79;210.3;gps;0.064;0;0;0;"1""."
34159;"""20160";2021-09-08;19:08:34;45.98;14.7;3.79;491.359;gps;0.064;0;0;0;"1""."
5058;"""5059";2021-09-06;11:13:54;45.910000000000004;15.43;9.935;212.597;gps;0.065;0;0;0;"1""."
5020;"""5021";2021-09-06;11:12:38;45.910000000000004;15.41;3.79;209.37;gps;0.065;0;0;0;"1""."
44333;"""2192";2022-06-06;10:52:00;45.87;15.129999999999999;3.79;286.538;gps;0.065;0;0;0;"1""."
48697;"""2850";2021-09-23;07:03:06;46.349999999999994;15.5;3.79;351.767;gps;0.066;0;0;0;"1""."
