;"""N";Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [μSv/h];Standard deviation;Standard error of the mean value;CF;"Number of measured points""."
56302;"""3353";2022-05-28;19:09:14;46.184;14.841;13.423;561.372;gps;0.032;0;0;0;"1""."
54767;"""1818";2022-05-28;18:39:47;46.292;15.438;14.055;432.986;gps;0.033;0;0;0;"1""."
33803;"""19804";2021-09-08;18:57:02;45.925;14.93;2799.999;0;network;0.033;0;0;0;"1""."
42794;"""653";2022-06-06;10:26:04;45.981;14.601;7.176;393.21;gps;0.036;0;0;0;"1""."
56305;"""3356";2022-05-28;19:09:17;46.184;14.84;6.089;564.613;gps;0.036;0;0;0;"1""."
34291;"""20292";2021-09-08;19:12:56;45.983;14.601;1500;0;network;0.036;0;0;0;"1""."
3637;"""3638";2021-09-06;10:27:19;45.983;14.602;1700;0;network;0.037;0;0;0;"1""."
54702;"""1753";2022-05-28;18:38:15;46.31;15.454;7.29;391.875;gps;0.037;0;0;0;"1""."
47266;"""1419";2021-09-23;06:16:15;46.181;14.85;7.927;563.258;gps;0.037;0;0;0;"1""."
47325;"""1478";2021-09-23;06:18:11;46.189;14.886;2700;0;network;0.038;0;0;0;"1""."
47298;"""1451";2021-09-23;06:17:18;46.188;14.888;1700;0;network;0.038;0;0;0;"1""."
13528;"""13529";2021-09-06;15:59:53;45.91;15.518;3.79;202.283;gps;0.039;0;0;0;"1""."
34350;"""20351";2021-09-08;19:14:52;46.011;14.561;1500;0;network;0.039;0;0;0;"1""."
47258;"""1411";2021-09-23;06:15:59;46.182;14.843;2299.999;0;network;0.04;0;0;0;"1""."
57441;"""4492";2022-05-28;19:28:51;46.021;14.563;25.307;376.838;averaged;0.041;0.013;0.003;0;"28""."
33333;"""19334";2021-09-08;18:41:35;45.875;15.303;3.79;206.493;gps;0.042;0;0;0;"1""."
34356;"""20357";2021-09-08;19:15:03;46.012;14.564;3.79;371.458;gps;0.042;0;0;0;"1""."
4489;"""4490";2021-09-06;10:55:09;45.855;15.143;2500;0;network;0.043;0;0;0;"1""."
47288;"""1441";2021-09-23;06:16:59;46.188;14.885;1100;0;network;0.044;0;0;0;"1""."
13527;"""13528";2021-09-06;15:59:51;45.91;15.517;3.79;202.062;gps;0.044;0;0;0;"1""."
13530;"""13531";2021-09-06;15:59:56;45.91;15.519;3.79;203.539;gps;0.045;0;0;0;"1""."
49198;"""3351";2021-09-23;07:19:31;46.567;15.686;7.118;323.894;gps;0.046;0;0;0;"1""."
3565;"""3566";2021-09-06;10:24:57;46.007;14.567;14.981;370.173;gps;0.046;0;0;0;"1""."
45048;"""2907";2022-06-06;11:04:03;45.906;15.345;3.79;210.588;gps;0.046;0;0;0;"1""."
45005;"""2864";2022-06-06;11:03:20;45.9;15.33;3.79;207.157;gps;0.046;0;0;0;"1""."
45060;"""2919";2022-06-06;11:04:15;45.907;15.35;3.79;211.484;gps;0.046;0;0;0;"1""."
13533;"""13534";2021-09-06;16:00:02;45.91;15.521;3.79;204.6;gps;0.046;0;0;0;"1""."
56100;"""3151";2022-05-28;19:02:32;46.22;14.942;4.61;433.578;gps;0.046;0;0;0;"1""."
56308;"""3359";2022-05-28;19:09:20;46.184;14.839;3.818;559.214;gps;0.047;0;0;0;"1""."
13510;"""13511";2021-09-06;15:59:19;45.91;15.507;3.79;202.727;gps;0.047;0;0;0;"1""."
13483;"""13484";2021-09-06;15:58:25;45.91;15.49;3.79;202.431;gps;0.047;0;0;0;"1""."
13481;"""13482";2021-09-06;15:58:21;45.91;15.489;3.79;201.791;gps;0.047;0;0;0;"1""."
43922;"""1781";2022-06-06;10:45:09;45.904;14.983;3.958;359.12;gps;0.047;0;0;0;"1""."
47441;"""1594";2021-09-23;06:21:59;46.212;14.912;2299.999;0;network;0.047;0;0;0;"1""."
44999;"""2858";2022-06-06;11:03:14;45.899;15.328;3.79;207.519;gps;0.047;0;0;0;"1""."
4245;"""4246";2021-09-06;10:47:12;45.904;14.984;3.862;348.42;gps;0.047;0;0;0;"1""."
45764;"""3623";2022-06-06;11:57:37;45.948;15.494;3.79;209.773;gps;0.047;0;0;0;"1""."
13512;"""13513";2021-09-06;15:59:23;45.91;15.508;3.79;203.806;gps;0.047;0;0;0;"1""."
13523;"""13524";2021-09-06;15:59:44;45.91;15.515;3.79;203.149;gps;0.048;0;0;0;"1""."
13524;"""13525";2021-09-06;15:59:46;45.91;15.516;3.79;202.838;gps;0.048;0;0;0;"1""."
13504;"""13505";2021-09-06;15:59:07;45.91;15.503;3.79;204.77;gps;0.048;0;0;0;"1""."
13515;"""13516";2021-09-06;15:59:29;45.91;15.51;3.79;203.805;gps;0.048;0;0;0;"1""."
13460;"""13461";2021-09-06;15:57:39;45.911;15.476;6.798;193.18;gps;0.048;0;0;0;"1""."
13517;"""13518";2021-09-06;15:59:33;45.91;15.511;3.79;204.491;gps;0.048;0;0;0;"1""."
34492;"""20493";2021-09-08;19:19:30;46.033;14.469;3.79;342.423;gps;0.048;0;0;0;"1""."
41791;"""1121";2021-06-29;12:34:12;46.163;15.21;3.79;299.94;gps;0.048;0;0;0;"1""."
34457;"""20458";2021-09-08;19:18:20;46.026;14.494;3.79;339.489;gps;0.048;0;0;0;"1""."
33600;"""19601";2021-09-08;18:50:23;45.865;15.129;3.79;286.385;gps;0.048;0;0;0;"1""."
13536;"""13537";2021-09-06;16:00:08;45.91;15.523;3.79;205.033;gps;0.048;0;0;0;"1""."
34456;"""20457";2021-09-08;19:18:18;46.026;14.495;3.79;339.292;gps;0.049;0;0;0;"1""."
34453;"""20454";2021-09-08;19:18:12;46.026;14.497;3.79;339.192;gps;0.049;0;0;0;"1""."
34455;"""20456";2021-09-08;19:18:16;46.026;14.496;3.79;339.687;gps;0.049;0;0;0;"1""."
45326;"""3185";2022-06-06;11:49:04;45.915;15.435;3.79;208.684;gps;0.049;0;0;0;"1""."
13480;"""13481";2021-09-06;15:58:19;45.91;15.488;3.79;201.999;gps;0.049;0;0;0;"1""."
13493;"""13494";2021-09-06;15:58:45;45.91;15.496;3.79;206.715;gps;0.049;0;0;0;"1""."
41057;"""387";2021-06-29;12:16:30;46.167;15.223;2740;0;network;0.049;0;0;0;"1""."
45158;"""3017";2022-06-06;11:05:53;45.908;15.388;3.79;221.854;gps;0.049;0;0;0;"1""."
34491;"""20492";2021-09-08;19:19:28;46.033;14.47;3.79;342.214;gps;0.049;0;0;0;"1""."
45363;"""3222";2022-06-06;11:49:41;45.915;15.451;3.79;208.552;gps;0.049;0;0;0;"1""."
13532;"""13533";2021-09-06;16:00:00;45.91;15.52;3.79;204.066;gps;0.049;0;0;0;"1""."
13535;"""13536";2021-09-06;16:00:06;45.91;15.522;3.79;203.903;gps;0.049;0;0;0;"1""."
13499;"""13500";2021-09-06;15:58:57;45.91;15.5;3.79;204.423;gps;0.049;0;0;0;"1""."
44262;"""2121";2022-06-06;10:50:49;45.873;15.101;3.79;331.883;gps;0.049;0;0;0;"1""."
34460;"""20461";2021-09-08;19:18:26;46.026;14.492;3.79;339.736;gps;0.05;0;0;0;"1""."
42563;"""422";2022-06-06;10:21:45;46.014;14.538;3.79;341.665;gps;0.05;0;0;0;"1""."
