;"""N";Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [μSv/h];Standard deviation;Standard error of the mean value;CF;"Number of measured points""."
864;"""865";2022-09-09;10:20:05;46.02;14.53;3.79;339.365;gps;0.055;0;0;0;"1""."
2059;"""755";2022-09-09;09:33:47;46.09;14.53;3.79;340.293;gps;0.055;0;0;0;"1""."
2323;"""1019";2022-09-09;09:39:24;46.12;14.56;3.79;348.402;gps;0.056;0;0;0;"1""."
470;"""471";2022-09-09;10:12:39;46.09;14.59;3.79;325.561;gps;0.056;0;0;0;"1""."
475;"""476";2022-09-09;10:12:44;46.09;14.58;3.79;325.901;gps;0.057;0;0;0;"1""."
935;"""936";2022-09-09;10:21:19;46.02;14.5;3.79;338.918;gps;0.057;0;0;0;"1""."
1708;"""404";2022-09-09;09:27:04;46.06;14.45;3.79;351.886;gps;0.057;0;0;0;"1""."
2418;"""1114";2022-09-09;09:41:00;46.13;14.57;3.79;348.201;gps;0.057;0;0;0;"1""."
502;"""503";2022-09-09;10:13:11;46.08;14.58;3.79;325.938;gps;0.057;0;0;0;"1""."
688;"""689";2022-09-09;10:16:20;46.04;14.57;3.79;345.42;gps;0.057;0;0;0;"1""."
911;"""912";2022-09-09;10:20:53;46.02;14.51;3.79;337.509;gps;0.059;0;0;0;"1""."
305;"""306";2022-09-09;10:09:48;46.13;14.61;3.79;346.861;gps;0.06;0;0;0;"1""."
804;"""805";2022-09-09;10:19:04;46.01;14.56;3.79;352.159;gps;0.06;0;0;0;"1""."
1621;"""317";2022-09-09;09:25:37;46.04;14.45;3.79;348.092;gps;0.06;0;0;0;"1""."
846;"""847";2022-09-09;10:19:47;46.02;14.54;3.79;344.67;gps;0.06;0;0;0;"1""."
559;"""560";2022-09-09;10:14:09;46.07;14.58;3.79;323.08;gps;0.06;0;0;0;"1""."
431;"""432";2022-09-09;10:12:00;46.1;14.59;3.79;331.616;gps;0.06;0;0;0;"1""."
406;"""407";2022-09-09;10:11:35;46.1;14.6;3.79;333.762;gps;0.06;0;0;0;"1""."
594;"""595";2022-09-09;10:14:46;46.06;14.57;3.79;321.634;gps;0.061;0;0;0;"1""."
1960;"""656";2022-09-09;09:31:27;46.08;14.53;9.935;340.123;gps;0.061;0;0;0;"1""."
289;"""290";2022-09-09;10:09:31;46.13;14.62;3.79;343.359;gps;0.061;0;0;0;"1""."
2078;"""774";2022-09-09;09:34:06;46.09;14.54;3.79;337.069;gps;0.061;0;0;0;"1""."
898;"""899";2022-09-09;10:20:40;46.02;14.52;3.79;336.258;gps;0.061;0;0;0;"1""."
758;"""759";2022-09-09;10:17:42;46.02;14.57;3.79;372.365;gps;0.062;0;0;0;"1""."
844;"""845";2022-09-09;10:19:45;46.01;14.54;3.79;345.956;gps;0.062;0;0;0;"1""."
1779;"""475";2022-09-09;09:28:20;46.07;14.47;3.79;355.513;gps;0.062;0;0;0;"1""."
674;"""675";2022-09-09;10:16:06;46.04;14.58;3.79;329.58;gps;0.062;0;0;0;"1""."
2369;"""1065";2022-09-09;09:40:10;46.13;14.56;3.79;348.592;gps;0.062;0;0;0;"1""."
2304;"""1000";2022-09-09;09:39:05;46.12;14.55;3.79;349.285;gps;0.062;0;0;0;"1""."
637;"""638";2022-09-09;10:15:29;46.05;14.58;3.79;323.578;gps;0.062;0;0;0;"1""."
1716;"""412";2022-09-09;09:27:12;46.06;14.46;3.79;350.229;gps;0.062;0;0;0;"1""."
1678;"""374";2022-09-09;09:26:34;46.05;14.45;3.79;360.536;gps;0.063;0;0;0;"1""."
2182;"""878";2022-09-09;09:36:47;46.11;14.54;3.79;348.254;gps;0.063;0;0;0;"1""."
1759;"""455";2022-09-09;09:27:58;46.07;14.46;5.36;351.622;averaged;0.063;0;0;0;"2""."
402;"""403";2022-09-09;10:11:32;46.11;14.6;3.79;332.548;gps;0.063;0;0;0;"1""."
711;"""712";2022-09-09;10:16:44;46.03;14.57;3.79;358.214;gps;0.063;0;0;0;"1""."
624;"""625";2022-09-09;10:15:16;46.05;14.57;3.79;323.015;gps;0.063;0;0;0;"1""."
583;"""584";2022-09-09;10:14:35;46.06;14.58;5.36;322.523;averaged;0.064;0.001;0.001;0;"2""."
2214;"""910";2022-09-09;09:37:19;46.11;14.55;3.79;356.116;gps;0.064;0;0;0;"1""."
279;"""280";2022-09-09;10:09:21;46.14;14.62;3.79;340.589;gps;0.064;0;0;0;"1""."
2433;"""1129";2022-09-09;09:41:18;46.14;14.57;3.79;347.209;gps;0.064;0;0;0;"1""."
830;"""831";2022-09-09;10:19:30;46.01;14.55;3.79;356.761;gps;0.064;0;0;0;"1""."
