;"""N";Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [μSv/h];Standard deviation;Standard error of the mean value;CF;"Number of measured points""."
786;"""787";2022-09-09;10:18:46;46.017;14.558;3.79;373.264;gps;0.042;0;0;0;"1""."
729;"""730";2022-09-09;10:17:13;46.029;14.568;8.811;360.836;gps;0.043;0;0;0;"1""."
880;"""881";2022-09-09;10:20:22;46.017;14.526;3.79;336.927;gps;0.046;0;0;0;"1""."
875;"""876";2022-09-09;10:20:17;46.017;14.528;3.79;337.328;gps;0.047;0;0;0;"1""."
877;"""878";2022-09-09;10:20:19;46.017;14.527;3.79;336.699;gps;0.047;0;0;0;"1""."
889;"""890";2022-09-09;10:20:31;46.018;14.522;3.79;336.509;gps;0.048;0;0;0;"1""."
462;"""463";2022-09-09;10:12:31;46.091;14.587;3.79;324.933;gps;0.048;0;0;0;"1""."
2118;"""814";2022-09-09;09:35:40;46.099;14.539;3.79;336.654;gps;0.049;0;0;0;"1""."
2117;"""813";2022-09-09;09:35:39;46.099;14.538;3.79;336.505;gps;0.049;0;0;0;"1""."
2347;"""1043";2022-09-09;09:39:48;46.127;14.558;3.79;346.986;gps;0.049;0;0;0;"1""."
887;"""888";2022-09-09;10:20:29;46.018;14.523;3.79;336.876;gps;0.049;0;0;0;"1""."
891;"""892";2022-09-09;10:20:33;46.019;14.522;3.79;336.838;gps;0.049;0;0;0;"1""."
883;"""884";2022-09-09;10:20:25;46.017;14.525;3.79;337.078;gps;0.049;0;0;0;"1""."
884;"""885";2022-09-09;10:20:26;46.018;14.524;3.79;337.02;gps;0.05;0;0;0;"1""."
2392;"""1088";2022-09-09;09:40:34;46.132;14.566;3.79;348.613;gps;0.05;0;0;0;"1""."
2394;"""1090";2022-09-09;09:40:36;46.133;14.566;3.79;348.201;gps;0.05;0;0;0;"1""."
2048;"""744";2022-09-09;09:33:36;46.087;14.533;3.79;339.882;gps;0.05;0;0;0;"1""."
538;"""539";2022-09-09;10:13:48;46.072;14.578;3.79;324.219;gps;0.05;0;0;0;"1""."
2049;"""745";2022-09-09;09:33:37;46.088;14.533;3.79;339.491;gps;0.05;0;0;0;"1""."
512;"""513";2022-09-09;10:13:21;46.078;14.581;3.79;323.877;gps;0.05;0;0;0;"1""."
465;"""466";2022-09-09;10:12:34;46.09;14.586;3.79;325.258;gps;0.05;0;0;0;"1""."
2343;"""1039";2022-09-09;09:39:44;46.127;14.557;3.79;345.477;gps;0.05;0;0;0;"1""."
2350;"""1046";2022-09-09;09:39:51;46.128;14.558;3.79;346.957;gps;0.05;0;0;0;"1""."
2334;"""1030";2022-09-09;09:39:35;46.126;14.556;3.79;346.12;gps;0.051;0;0;0;"1""."
2327;"""1023";2022-09-09;09:39:28;46.125;14.555;3.79;348.2;gps;0.051;0;0;0;"1""."
458;"""459";2022-09-09;10:12:27;46.092;14.587;3.79;325.417;gps;0.051;0;0;0;"1""."
448;"""449";2022-09-09;10:12:17;46.095;14.588;3.79;328.341;gps;0.051;0;0;0;"1""."
2340;"""1036";2022-09-09;09:39:41;46.126;14.557;3.79;345.249;gps;0.051;0;0;0;"1""."
2391;"""1087";2022-09-09;09:40:33;46.132;14.565;3.79;348.519;gps;0.051;0;0;0;"1""."
872;"""873";2022-09-09;10:20:13;46.016;14.529;3.79;337.996;gps;0.051;0;0;0;"1""."
387;"""388";2022-09-09;10:11:17;46.11;14.6;5.36;331.521;averaged;0.051;0;0;0;"2""."
2043;"""739";2022-09-09;09:33:31;46.086;14.532;3.79;339.92;gps;0.051;0;0;0;"1""."
1664;"""360";2022-09-09;09:26:20;46.049;14.448;3.79;356.767;gps;0.051;0;0;0;"1""."
2332;"""1028";2022-09-09;09:39:33;46.125;14.556;3.79;346.469;gps;0.052;0;0;0;"1""."
1980;"""676";2022-09-09;09:32:18;46.08;14.526;3.79;345.189;gps;0.052;0;0;0;"1""."
2055;"""751";2022-09-09;09:33:43;46.089;14.533;3.79;340.57;gps;0.052;0;0;0;"1""."
611;"""612";2022-09-09;10:15:03;46.057;14.574;3.79;319.551;gps;0.052;0;0;0;"1""."
536;"""537";2022-09-09;10:13:46;46.073;14.579;3.79;323.626;gps;0.052;0;0;0;"1""."
530;"""531";2022-09-09;10:13:40;46.074;14.579;3.79;323.269;gps;0.052;0;0;0;"1""."
517;"""518";2022-09-09;10:13:26;46.077;14.581;3.79;322.877;gps;0.052;0;0;0;"1""."
