"N;Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [ÎĽSv/h];Standard deviation;Standard error of the mean value;CF;Number of measured points".
1;2022-09-09;10:02:37;46.142;14.587;37.063;352.209;averaged;0.067;0.007;0.001;0;63".
"2;2022-09-09;10:03:14;46.142;14.587;57.574;357.494;averaged;0.06;0.002;0;0;37".
"3;2022-09-09;10:03:16;46.142;14.587;5.36;352.648;averaged;0.062;0.002;0.002;0;2".
"4;2022-09-09;10:03:18;46.142;14.587;5.36;353.355;averaged;0.063;0;0;0;2".
"5;2022-09-09;10:03:19;46.142;14.587;3.79;354.318;gps;0.061;0;0;0;1".
"6;2022-09-09;10:03:20;46.142;14.587;3.79;353.159;gps;0.059;0;0;0;1".
"7;2022-09-09;10:03:21;46.142;14.587;3.79;353.043;gps;0.059;0;0;0;1".
"8;2022-09-09;10:03:22;46.142;14.587;3.79;353.437;gps;0.06;0;0;0;1".
"9;2022-09-09;10:03:23;46.142;14.587;3.79;353.144;gps;0.06;0;0;0;1".
"10;2022-09-09;10:03:24;46.142;14.587;3.79;352.891;gps;0.063;0;0;0;1".
"11;2022-09-09;10:03:25;46.142;14.587;3.79;352.86;gps;0.062;0;0;0;1".
"12;2022-09-09;10:03:26;46.142;14.587;3.79;353.139;gps;0.06;0;0;0;1".
"13;2022-09-09;10:03:27;46.142;14.587;3.79;352.947;gps;0.06;0;0;0;1".
"14;2022-09-09;10:03:28;46.141;14.587;3.79;352.712;gps;0.063;0;0;0;1".
"15;2022-09-09;10:03:29;46.141;14.587;3.79;352.974;gps;0.064;0;0;0;1".
"16;2022-09-09;10:03:30;46.141;14.587;3.79;352.706;gps;0.063;0;0;0;1".
"17;2022-09-09;10:03:31;46.141;14.587;3.79;352.664;gps;0.062;0;0;0;1".
"18;2022-09-09;10:03:32;46.141;14.587;3.79;352.387;gps;0.061;0;0;0;1".
"19;2022-09-09;10:03:33;46.141;14.587;3.79;352.622;gps;0.06;0;0;0;1".
"20;2022-09-09;10:03:34;46.141;14.587;3.79;352.236;gps;0.062;0;0;0;1".
"21;2022-09-09;10:03:35;46.141;14.587;3.79;352.257;gps;0.061;0;0;0;1".
"22;2022-09-09;10:03:36;46.141;14.587;3.79;352.241;gps;0.058;0;0;0;1".
"23;2022-09-09;10:03:37;46.141;14.587;3.79;351.317;gps;0.057;0;0;0;1".
"24;2022-09-09;10:03:39;46.141;14.587;5.36;351.555;averaged;0.057;0;0;0;2".
"25;2022-09-09;10:03:41;46.141;14.587;5.36;351.77;averaged;0.057;0.001;0;0;2".
"26;2022-09-09;10:03:43;46.141;14.588;5.36;351.814;averaged;0.058;0.001;0.001;0;2".
"27;2022-09-09;10:03:45;46.141;14.588;3.79;351.576;gps;0.06;0;0;0;1".
"28;2022-09-09;10:03:46;46.141;14.588;3.79;351.387;gps;0.063;0;0;0;1".
"29;2022-09-09;10:03:47;46.141;14.588;3.79;351.475;gps;0.067;0;0;0;1".
"30;2022-09-09;10:03:49;46.141;14.588;5.36;351.134;averaged;0.064;0;0;0;2".
"31;2022-09-09;10:03:52;46.14;14.588;6.565;350.227;averaged;0.063;0.001;0;0;3".
"32;2022-09-09;10:03:54;46.14;14.588;5.36;350.886;averaged;0.064;0;0;0;2".
"33;2022-09-09;10:03:56;46.14;14.588;5.36;350.125;averaged;0.062;0;0;0;2".
"34;2022-09-09;10:03:59;46.14;14.588;6.565;348.951;averaged;0.062;0.001;0;0;3".
"35;2022-09-09;10:04:03;46.14;14.588;7.58;347.748;averaged;0.059;0.001;0;0;4".
"36;2022-09-09;10:04:06;46.14;14.588;6.565;348.458;averaged;0.059;0.001;0;0;3".
